"source";"target";"interaction";"directed";"symbol"
"46fa214a-1dda-48ed-a299-1a53236cc90a";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"46fa214a-1dda-48ed-a299-1a53236cc90a";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"70b6857d-f19c-4e22-b832-6c06f9778b7e";"d3167a4d-4b97-4151-88e6-03be4353a33d";"belongsto";"true";0
"445deff2-e020-4b35-95f8-d1bcdabfcd3b";"8eb10fff-70e6-4772-b524-c16d95ed1095";"belongsto";"true";0
"be93b52d-4f7a-4687-98e3-06d36de1f7ae";"d3639dfe-2bef-4a77-8c6f-f2dc630f82dc";"belongsto";"true";0
"be93b52d-4f7a-4687-98e3-06d36de1f7ae";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"34c0b2a0-9127-4b89-a3ca-f457440b5ad4";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"49065ad3-7d56-4b1d-96b1-d16fc98cce03";"f899d000-7c65-4fa0-a49e-de84e52fecf3";"belongsto";"true";0
"8bea3718-0765-4776-b21e-dd7602dff94b";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"8bea3718-0765-4776-b21e-dd7602dff94b";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"8bea3718-0765-4776-b21e-dd7602dff94b";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"8bea3718-0765-4776-b21e-dd7602dff94b";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"8bea3718-0765-4776-b21e-dd7602dff94b";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"8bea3718-0765-4776-b21e-dd7602dff94b";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"8bea3718-0765-4776-b21e-dd7602dff94b";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"11edde36-8f37-4c7f-aa3c-0e27ef3c9f00";"075d080b-6b6d-425b-8173-1dd334777e0a";"belongsto";"true";0
"11edde36-8f37-4c7f-aa3c-0e27ef3c9f00";"7ce6ac93-7a46-45ab-bf24-dbf7559e1c02";"belongsto";"true";0
"197ad1dc-26d6-4305-b52b-61340395f46a";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"197ad1dc-26d6-4305-b52b-61340395f46a";"bd3fc437-b9f8-4789-9b42-3bd8099c7b5d";"belongsto";"true";0
"197ad1dc-26d6-4305-b52b-61340395f46a";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"197ad1dc-26d6-4305-b52b-61340395f46a";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"197ad1dc-26d6-4305-b52b-61340395f46a";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"197ad1dc-26d6-4305-b52b-61340395f46a";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"197ad1dc-26d6-4305-b52b-61340395f46a";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
"197ad1dc-26d6-4305-b52b-61340395f46a";"797d992e-a1f7-4b95-a9d8-397f795f74cd";"belongsto";"true";0
"fb2465ed-b324-4a92-91f1-a1a34caabc5e";"103d7f34-4a1e-484a-8964-07a371b8dbb0";"belongsto";"true";0
